Police Department,Requires De-Escalation,"(Policy Language) Requires De-Escalation: Does the policy require officers to de-escalate situations, when possible?",Bans Chokeholds and Strangleholds,"(Policy Language) Bans Chokeholds and Strangleholds: Are chokeholds and strangleholds (including carotid restraints) explicitly prohibited, except in situations where deadly force is authorized?",Duty to Intervene,(Policy Language) Duty to Intervene: Are officers required to intervene when witnessing another officer using excessive force?,Requires Warning Before Shooting,"(Policy Language) Requires Warning Before Shooting: Are officers required to give a verbal warning, when possible, before shooting someone?",Restricts Shooting at Moving Vehicles,(Policy Language) Restricts Shooting at Moving Vehicles: Are officers prohibited from shooting at people in moving vehicles unless the subject presents a separate deadly threat other than the vehicle itself?,Requires Comprehensive Reporting,"(Policy Language) Requires Comprehensive Reporting: Are all uses of force required to be reported, including the pointing of a firearm at a civilian?",Requires Exhaust All Other Means Before Shooting,(Policy Language) Requires Exhaust All Other Means Before Shooting: Are officers required to exhaust all other reasonable alternatives before resorting to deadly force?,Has Use of Force Continuum,"(Policy Language) Has Use of Force Continuum: Is a Force Continuum or Matrix included in the Policy, defining the types of force/weapons that can be used to respond to specific types of resistance?",Year of most recent policy,Total Population,Updated Since 2016,Year of most recent policy,Requires De-Escalation New,Use of Force Continuum New,Ban Chokeholds and Strangleholds New,Require Warning Before Shooting New,Ban Shooting at Moving Vehicles New,Exhaust All Alternatives New,Duty to Intervene New,Comprehensive Reporting New
Birmingham,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. New policy states Ã’NECK HOLDS PROHIBITED. Law enforcement officers shall not use chokeholds, strangleholds, Lateral Vascular Neck Restraints, Carotid Restraints, chest compressions, or any other tactics that restrict oxygen or blood flow to the head or neck.",1,Yes. New policy currently requires officers to intervene when witnessing a fellow officer,0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it. Policy states ""An officer may not discharge a weapon at a moving or fleeing vehicle unless the officer reasonably believes that the officer or some other person is in immediate danger of death or serious bodily injury. The fact that the fleeing or doing vehicle is pending or committed some other traffic violation does not constitute grounds for belief that a serious and immediate danger of death or serious bodily injury exists. An officer will not purposely place themselves in front of a moving vehicle in an attempt to force the vehicle to stop. Shooting at a vehicle trying to hit an officer is prohibited unless the officer has no avenue of escape.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,212037,1,2020,no,yes (pre-launch),yes (post-launch),no,no,no,yes (post-launch),no
Boston,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,"Yes. Policy states ""As a result of the increased potential for injury, officers shall refrain from utilizing restraint techniques that include squeezing the trachea, windpipe, or throat area to stop a subject from ingesting any controlled substance.""",1,"Yes. Policy states ""Excessive or unauthorized force is never justified and every officer not only has an affirmative duty to intervene to prevent such violence, but also to report any such instances that may come to their attention.""",1,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",1,"Yes. Policy states ""Firearms shall not be discharged at a moving or fleeing vehicle unless the officer or another person is currently being threatened with deadly force by means other than the moving vehicle. For the purposes of this section, the moving vehicle itself shall not constitute the threatened use of deadly force. Therefore, officers shall move out of the path of any oncoming vehicle instead of discharging a firearm at it or any of its occupants. Moving to cover, repositioning and/or waiting for additional responding units to gain and maintain a tactically superior police advantage maximizes officer safety and minimizes the necessity for using deadly force.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""The discharge of a firearm by a member of the Department is permissible only when:
A. There is no less drastic means available to defend oneself or another from unlawful attack which an officer has reasonable cause to believe could result in death or great bodily injury, or B. There is no less drastic means available to apprehend a fleeing felon when the officer has probable cause to believe that: (1) the subject has committed a felony during the commission of which they inflicted or threatened to inflict deadly force upon the victim, or (2) that there is substantial risk that the felon in question will cause death or great bodily injury if their apprehension is delayed""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2003,617594,1,2020,yes (post-launch),yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),yes (pre-launch),yes (post-launch),no
Buffalo,1,"Yes. Policy states ""The officer shall use verbal techniques to achieve compliance and if those techniques are unsuccessful, is authorized to take physical control of the subject.""",1,"On June 12th 2020, Governor Cuomo signed into law the following ""Establishes the crime of aggravated strangulation for police officers or peace officers where such officer commits the crime of criminal obstruction or breathing or blood circulation, or uses a chokehold or similar restraint, and causes serious physical injury or death.""",0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",1,"Yes. Policy states ""Members shall not discharge a firearm or shoulder weapon from or at a moving vehicle or its occupants unless the occupants of the other vehicle are using deadly physical force against you or another person by means other than the vehicle. Members shall not discharge their firearms at or from a moving vehicle when the consequences of so doing will jeopardize the safety of other members of the Department or innocent bystanders.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""B. Physical force shall only be used when no other viable option is available. C. When force is used, only the minimum amount of force that is necessary to overcome the suspect's resistance, shall be employed. D. The use of force must be reasonable and can never be reckless.""
""excessive or unreasonable force shall not be used.""
""Even if the use of deadly physical force is authorized, the Officer may not be reckless in its use. C. Depending upon the circumstances in which they are utilized, the use of the night stick, restraining holds, police vehicles, as well as service firearms, may be construed as the use of deadly physical force.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2018,261310,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),no,yes (pre-launch),yes (pre-launch),no,no
Chandler,1,"Yes. Policy states ""When practical, use advisements, warnings, verbal persuasion, and
other tactics/alternatives to higher levels of force in interactions with
subjects
b. EXAMPLE: Withdraw to a position that is tactically more secure or
allows greater distance in order to consider or deploy a greater variety
of force options""",0,No. Chokeholds are banned but strangle/carotid holds are not.,1,"Yes. Policy states ""DUTY TO INTERVENE Any officer present and observing another officer using force clearly beyond
what is objectively reasonable under the circumstances shall, when in a
position to do so, safely intercede to prevent the use of such excessive force.
Officers shall promptly report these observations to a supervisor. """,1,"Yes. Policy states ""WHEN FEASIBLE, PRECEDE ANY USE OF DEADLY FORCE BY A VERBAL
WARNING that force will be used if the suspect will not comply. The
warning is unnecessary if it will endanger an officer or take away a
tactical advantage. The officer employing force need not be the officer
giving the warning.""",0,No. Policy does not outline a comprehensive ban on shooting at moving vehicles,0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states "" PRECLUSION All other lesser alternatives have been reasonably considered or rejected as ineffective prior to the use of deadly force.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2018,236123,0,2018,yes (pre-launch),yes (pre-launch),no,yes (pre-launch),no,yes (pre-launch),yes (pre-launch),no
Charlotte,1,"Yes. Policy states ""In addition and if feasible, officers will attempt to de-escalate the situation through verbal dialogue and commands. """,1,"Yes. New policy states ""Officers will not use the following tactics unless deadly force is reasonably necessary: 1. Any hold with or without a device that restricts a person's airway. 2. Any hold with or without a device that restricts blood flow to a person's brain. 3. Any strike with an impact weapon or object to a person's head or neck.""",1,Yes. Policy requires officers to intervene when witnessing excessive force by another officer.,1,"Yes. Policy states ""If feasible, an officer will identify him or herself as a police officer and issue a verbal warning before using deadly force. A verbal warning is not required in a split second situation or if the officer reasonably believes that issuing the warning would place the safety of the officer or another person in jeopardy.""",1,"""Yes. New policy states """"Moving Vehicles

1.	When confronted with an oncoming vehicle, an officer will not position him or herself into the path of the vehicle but will take all reasonable steps to move out of the way.

2.	An officer will not discharge his or her firearm at a moving vehicle for the sole purpose of disabling the vehicle except pursuant to written protocol adopted by SWAT and approved by the Chief of Police, or designee.

3.	An officer may discharge his or her firearm at or from a moving vehicle if the officer reasonably believes that no other option is reasonably available if:

a.	Deadly force is being used against the officer or another person by an occupant of the vehicle by use of a weapon other than the vehicle itself. 

b.	The vehicle is being used as a weapon against the officer or another person or group, such as in an act of terrorism.

**Discharging a firearm in this circumstance is never authorized when it is reasonable to believe that the vehicle may contain an innocent passenger or it is reasonably apparent that the vehicle may careen out of control and injure an innocent bystander.""""""",1,"Yes. New policy states ""When an officer removes their service weapon from the holster and/or points it at a person, deploys their department issued shotgun, rifle, or approved backup weapon, or activates any weapon mounted light they will document this by categorizing their BWC video as they normally would for the type of incident. In addition, employees will tag the video with a secondary appropriate category of weapon drawn or Pointing of Firearm. Officers will document in the text box the justification or factors leading to drawing and/or pointing their weapon at a person. If no BWC was activated or required at the time of the incident the officer will document the incident in a KBCOPS report or in a CAD MI notes.""",1,"""Yes. New policy states """"Officers shall resort to the use of deadly force only if the officer reasonably believes that a lower degree of control is not sufficient, practical, or feasible when the officer reasonably believes that it is necessary to defend him or herself or another person from the use or imminent use of deadly physical force.""""""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2020,731424,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),yes (post-launch),yes (post-launch),yes (post-launch),yes (post-launch)
Chesapeake,0,No. Policy does not require officers to use de-escalation whenever possible.,0,"Virginia legislators are currently reviewing a legislative package that would ban chokeholds and carotid holds statewide, to be reviewed on 8/18/20.",0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""Where feasible, officers shall identify themselves and give a verbal warning before shooting at a person.""",0,"No. Allows officers to shoot at moving vehicles when deadly force is not being used against others by means other than the vehicle in some cases. 
Firing or deployment of any weapon at or from any moving vehicle, unless the officer reasonably believes that the vehicle is operated in a manner deliberately intended to strike an officer or citizen, all other means of defense have been exhausted, and the safety of innocent persons would not be unduly jeopardized by the officerÃ¢â‚¬â„¢s action.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""To prevent the escape of a fleeing felon whom the officer has probable cause to believe will pose a significant, imminent threat to human life should escape occur. No other reasonable means of capture must be available to the officer in this case without endangering the officerÃ¢â‚¬â„¢s life or the life of another person.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2017,223619,0,2017,no,yes (pre-launch),under review,yes (pre-launch),under review,yes (pre-launch),no,no
Chicago,1,"Yes. Policy states ""Members will use de-escalation techniques to prevent or reduce the need for force when it is safe and feasible to do so based on the totality of the circumstances. This includes continually assessing the situation and modifying the use of force as circumstances
change and in ways that are consistent with officer safety. Examples of de-escalation techniques include but are not limited to:
a. exercising persuasion and advice, and providing a warning prior to the use of force.
b. determining whether the member may be able to stabilize the situation through the use of time, distance, or positioning to isolate and contain a subject.
c. requesting additional personnel to respond or make use of specialized units or equipment including crisis-intervention-team trained officers.""",1,"Yes. Revised use of force policy adopted February 2020 bans strangleholds (i.e. Carotid Restraints) in addition to chokeholds which had previously been banned in all cases except where deadly force is authorized. Definition of Deadly Force. Deadly force is force by any means that is likely to cause death or great bodily harm. It includes but is not limited to: a. firing of a firearm in the direction of the person to be arrested. b. firing of a firearm at a vehicle in which the person to be arrested is riding. c. intentional striking of a subjectÃ°s head or neck with an impact weapon. d. application of a chokehold (applying direct pressure to a person's trachea (windpipe) or airway (front of the neck) with the intention of reducing the intake of air), carotid artery restraints (techniques that compresses the blood vessels in the neck to inhibit or restrict blood flow to carotid arteries), or other maneuvers for applying direct pressure on a windpipe or airway.",1,"Yes. Policy states ""5.B: Intervention, Notifying Superiors, Supervisory Intervention. A Department member who directly observes a use of force that is excessive or otherwise in violation of this directive will contact a supervisor as soon as practicable. Except in extraordinary circumstances, the member will act to intervene on the subject's behalf. Such action will include, but is not limited to, verbally intervening to try to stop the violation. If the member is a supervisor, he or she will issue a direct order to stop the violations""",1,"Yes. Policy states officers are required to ""issue a verbal warning prior to, during, and after the discharge of a firearm.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",1,Yes. Policy states all uses of force are now required to be reported (as of a new policy adopted in October 2019).,1,"Yes. Officers only allowed to use deadly force as a last resort when necessary and proportional to the threat. 
""The use of deadly force is a last resort that is permissible only when necessary to protect against an imminent threat to life or to prevent great bodily harm to the member or
another person. Consistent with this requirement, a sworn Department member may use deadly force only when such force is necessary to prevent:
a. death or great bodily harm from an imminent threat posed to the sworn member or to another person.
b. an arrest from being defeated by resistance or escape, where the person to be arrested poses an imminent threat of death or great bodily harm to a sworn member or another person unless arrested without delay.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2020,2695598,1,2020,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),under review,yes (pre-launch),yes (pre-launch),yes (pre-launch)
Chula Vista,0,This city is currently reviewing/considering adopting a required de-escalation policy.,1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""300.2.1 DUTY TO INTERCEDE
Any officer present and observing another officer using force that is clearly beyond that which is
reasonable under the circumstances shall, when in a position to do so, intercede to prevent the
use of such excessive force. An officer who observes another employee use force that exceeds
the degree of force permitted by law should promptly report these observations to a supervisor.""",1,"Yes. Policy states ""An officer may use deadly force to stop a fleeing subject when the officer has probable cause to believe that the person has committed, or intends to commit, a felony involving the infliction or threatened infliction of serious bodily injury or death, and the officer reasonably believes that there is an imminent risk of serious bodily injury or death to any other person if the subject is not immediately apprehended. Under such circumstances, a verbal warning should precede the use of deadly force, where feasible.""",0,"No. Allows officers to shoot at moving vehicles even when only the vehicle itself is considered a threat. 
""300.6.1 SHOOTING AT OR FROM MOVING VEHICLES
Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of
an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants.
An officer should only discharge a firearm at a moving vehicle or its occupants when the officer
reasonably believes there are no other reasonable means available to avert the threat of the
vehicle, or if deadly force other than the vehicle is directed at the officer or others.
Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2014,243916,0,2014,under review,no,yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
Cincinnati,1,"Yes. Policy states ""When officers are confronted with a situation where control is required to effect an arrest or protect the publicÃ„Æ’Ãƒï¿½s safety, officers should attempt to achieve control through advice, warnings, and persuasion.
The suspect should be allowed to submit to arrest before force is used unless this causes unnecessary danger to the officer or others.
When officers have a right to make an arrest, they may use whatever force is reasonably necessary to apprehend the offender or effect the arrest and no more. Just as officers must be prepared to respond appropriately to rising levels of resistance, they must likewise be prepared to promptly de-escalate the use of force as the subject de-escalates or comes under police control.""",1,"Yes. Policy restricts both chokeholds and carotid restraints, to be authorized only as deadly force.
",1,"Yes. Policy states ""An officer has a duty to intervene to stop, prevent and report the use of excessive force by
another officer when it safe and reasonable to do so.""",1,"Yes. Policy states ""If possible, the officer will give verbal warning before using the firearm""",1,"Yes. Policy states ""Moving Vehicles: Officers shall not discharge their firearms at a moving vehicle or its occupants unless the occupants are using deadly physical force against the officer or another person present, by means other than the vehicle.""",1,Yes. New policy states officers are required to report when aiming or drawing a weapon at someone.,1,"Yes. ""Respect for human life requires that police officers exhaust all other reasonable means before resorting to the use of firearms and then only when an officer reasonably believes that such use of firearms is necessary to protect the officer or another from the risk of serious physical harm or loss of life.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2017,296943,1,2020,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (post-launch)
Cleveland,1,"Yes. Policy states ""Members shall factor into their response their ability to de-escalate the use of force...If reasonably able to do so, the member shall intervene physically to de-escalate the application of force."" p. 4; ""Members shall first attempt verbal persuasion tactics and warnings to gain the person's cooperation. If verbal persuasion and warnings do not gain compliance, members shall obtain assistance to gain the person's cooperation through a show of force. If a show of force does not gain compliance, the member shall use physical holds..Members shall consider alternative tactics to the use of force, which include, but are not limited to...Voice commands and other verbal attempts to de-escalate the situation."" p. 4-5.",1,"Yes. Policy defines ""any action that restricts the blood or oxygen flow through the neck"" as deadly force.",1,"Yes. Policy states ""Members of the Division of Police have a duty to act if the use of force against a person by any law enforcement officer clearly becomes excessive or objectively unreasonable...The member shall...report witnessed suspected excessive use of force to the next non-involved supervisor in their chain of command before reporting off duty."" (p. 3-4)",1,"Yes. Policy states ""where feasible, some warning has been given,"" and ""Where feasible, and to do so would not increase the danger to officers or others, officers shall issue a verbal warning to submit to their authority prior to the use of force.""",1,"Yes. Policy states ""Officers shall not discharge any firearm at or from a moving vehicle unless deadly force is being used against the police officer or another person present by means other than the moving vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2018,396815,0,2018,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no,yes (pre-launch),no
